file,result,candidate,base10,check_digit,status,raw_text,ocr_ms,total_ms,http_status
-2147483648_-210777.jpg,HNIU3651706,HNIU3651706,HNIU365170,6,FULL_11,HNIM 3651706,42.895,44.067,200
-2147483648_-210779.jpg,NOT_FOUND,,,,RAW_ONLY,DHUN,25.859,27.048,200
-2147483648_-210781.jpg,DULU090151,DULU090151,DULU090151,,PARTIAL_10,DULI 090151,124.037,125.046,200
1-124049001-OCR-RF-D01_jpg.rf.69aae6634925ae990c1bcf5d3451c57f.jpg,BSIU2351589,BSIU2351589,BSIU235158,9,FULL_11,BSIU 2351589,21.559,22.227,200
1-124105001-OCR-AH-A01_jpg.rf.d818f5c58e78ed50b116b73ef5d15364.jpg,NOT_FOUND,,,,RAW_ONLY,MBHMBH,45.391,46.13,200
1-124401001-OCR-LF-C01_jpg.rf.0c290fcce8fdcc2508aa14fdf4d5b7fa.jpg,SEGU1313815,SEGU1313815,SEGU131381,5,FULL_11,SEGU 1313815,26.934,27.878,200
1-124443001-OCR-AH-A01_jpg.rf.d5c3de0020aba0a3db07709bc4576314.jpg,CAIU8819917,CAIU8819917,CAIU881991,7,FULL_11,CAIU 8819917,42.69,43.782,200
1-124835001-OCR-LB-C02_jpg.rf.f74818b90f29ce3c613a9fd95f763a42.jpg,ETRU0307417,ETRU0307417,ETRU030741,7,FULL_11,ETRH 0307417,119.241,120.572,200
1-125124001-OCR-AH-A01_jpg.rf.9bd7d4dbed1f72f2134023359976fba2.jpg,TCNU3366195,TCNU3366195,TCNU336619,5,FULL_11,TCNU 3366195,25.052,26.163,200
1-125158001-OCR-RF-D01_jpg.rf.484bfe2ac970bd0410b4ad7f2830cc11.jpg,TCNU5392147,TCNU5392147,TCNU539214,7,FULL_11,TCNU 5392147,24.225,25.041,200
photo_5384421326304514416_y.jpg,NOT_FOUND,,,,RAW_ONLY,HIATLILUI,44.206,49.003,200
photo_5384421326304514417_y.jpg,NOT_FOUND,,,,RAW_ONLY,FMTM,44.233,47.996,200
photo_5384421326304514418_y.jpg,EMIU1241424,EMIU1241424,EMIU124142,4,FULL_11,EMIMIOI 12414242,47.14,51.19,200
photo_5384421326304514419_y.jpg,NOT_FOUND,,,,RAW_ONLY,144964,146.889,150.736,200
